Object,Action Type,Rule Group,Rule Name,Status,Condition,Actions
Contact,TransitionState_Stop,F01-Email Routing,01-Trupanion Emails,Disabled,If (Incidents > Subject  contains  CarePlus Plan  OR  Contacts > Email - Primary  equals  Care@trupanion.com  OR  Incidents > Customer thread  contains  CarePlus  OR  Incidents > Customer thread  contains  Trupanion  OR  Incidents > Subject  contains  Trupanion),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,F01-Lemonade Emails,Disabled,If (Incidents > Subject  contains  Lemonade  OR  Contacts > Email - Primary  match regex  chewy.file.claim@lemonade.com|chewy.claim.status@lemonade.com|chewy.policy.question@lemonade.com  OR  Incidents > Customer thread  contains  Lemonade),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,01-Chewy Pro Routing,Enabled,If (Incidents > Mailbox  equals  null  OR  Contacts > Contact Type  equals  Chewy Pro),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,01- Vet Diet Fax Routing v2,Disabled,If ((  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com  OR  Contacts > Email - Primary  equals  kwallace1@chewy.com )  AND  Incidents > Incoming Mailbox  equals  Vet Diet),Transition State And Stop 03-Vet Diet State
Contact,TransitionState_Stop,F01-Email Routing,01- Vet Diet Fax Routing,Enabled,If ((  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com  OR  Contacts > Email - Primary  equals  kwallace1@chewy.com  OR  Contacts > Email - Primary  equals  mfinn@chewy.com )  AND  Incidents > Incoming Mailbox  equals  Vet Diet),Transition State And Stop 03-Vet Diet State
Contact,TransitionState_Stop,F01-Email Routing,01- Chewy Rx Pharmacy Fax Routing,Enabled,If ((  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com  OR  Contacts > Email - Primary  equals  help@mail.efax.com  OR  Contacts > Email - Primary  equals  emcavinn@chewy.com )  AND  Incidents > Incoming Mailbox  equals  RX  AND  Custom Field > Channel  not equals  Gabapentin),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- Chewy Rx Pharmacy Fax Routing - Gaba,Enabled,If ((  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com  OR  Contacts > Email - Primary  equals  help@mail.efax.com  OR  Contacts > Email - Primary  equals  emcavinn@chewy.com )  AND  Incidents > Incoming Mailbox  equals  RX  AND  Custom Field > Channel  equals  Gabapentin),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- Rx Pharmacy Fax Routing v2,Disabled,If ((  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com  OR  Contacts > Email - Primary  equals  help@mail.efax.com )  AND  Incidents > Incoming Mailbox  equals  RX),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- Chewy Rx Pharmacy Verbal Routing,Enabled,If ((  Contacts > Email - Primary  equals  pharmacyteam@chewy.com  OR  Contacts > Email - Primary  equals  verbals@chewy.com )  AND  Incidents > Incoming Mailbox  equals  RX  AND  Custom Field > Channel  not equals  Gabapentin),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- Chewy Rx Pharmacy Verbal Rout -GABA,Enabled,If ((  Contacts > Email - Primary  equals  pharmacyteam@chewy.com  OR  Contacts > Email - Primary  equals  verbals@chewy.com )  AND  Incidents > Incoming Mailbox  equals  RX  AND  Custom Field > Channel  equals  Gabapentin),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- Rx Pharmacy Verbal Routing v2,Disabled,If ((  Contacts > Email - Primary  equals  pharmacyteam@chewy.com  OR  Contacts > Email - Primary  equals  verbals@chewy.com )  AND  Incidents > Incoming Mailbox  equals  RX),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- Chewy Rx Pharmacy Mailin Routing,Enabled,If (Contacts > Email - Primary  equals   wmcreynold@chewy.com  AND  Incidents > Incoming Mailbox  equals  RX),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- Chewy RX Pharmacy Voicemail,Enabled,If ((  Contacts > Email - Primary  equals  unityconnection@iad2uca.chewy.local  OR  Contacts > Email - Primary  equals  unityconnection@fll2tucb.chewy.local  OR  Contacts > Email - Primary  equals  RPH_PharmacistNV_V@iad2uca.chewy.local )  AND  Incidents > Mailbox  equals  RX  AND  Custom Field > Channel  not equals  Gabapentin),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- Chewy RX Pharmacy Voicemail - Gaba,Enabled,If ((  Contacts > Email - Primary  equals  unityconnection@iad2uca.chewy.local  OR  Contacts > Email - Primary  equals  unityconnection@fll2tucb.chewy.local  OR  Contacts > Email - Primary  equals  RPH_PharmacistNV_V@iad2uca.chewy.local )  AND  Incidents > Mailbox  equals  RX  AND  Custom Field > Channel  equals  Gabapentin),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- Rx Pharmacy Fax Reply Routing,Disabled,If ((  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com )  AND  Incidents > Mailbox  equals  null),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- Chewy RX Pharmacy Email Petscription,Enabled,"If (Incidents > Mailbox  equals  RX  AND  Contacts > Contact Type  equals  Veterinarian, Vet Tech)",Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- Chewy RX Pharmacy Email Routing,Enabled,If (Contacts > Email - Primary  not equals  notify@ringcentral.com  AND  Incidents > Mailbox  equals  RX  AND  Contacts > Contact Type  not equals  Vet Clinic),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- Chewy RX Pharmacy Clinic Routing,Enabled,If (Contacts > Email - Primary  not equals  notify@ringcentral.com  AND  Incidents > Mailbox  equals  RX  AND  Contacts > Contact Type  equals  Vet Clinic),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- Rx Pharmacy ISRs Requests,Enabled,If (Incidents > Incoming Mailbox  equals  Chewy Petscriptions  AND  Contacts > Email - Primary  equals  SupportPH@chewy.com),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- RX Pharmacy Email Reply  Routing,Enabled,If (Incidents > Mailbox  equals  null  AND  Contacts > Email - Primary  not equals  SupportPH@chewy.com),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-Email Routing,01- Supply Email Routing,Enabled,If (Incidents > Incoming Mailbox  equals  Supply Mailbox  AND  Incidents > Category  equals  Unspecified  AND  Incidents > Disposition  equals  Unspecified  AND  Contacts > Email - Primary  not equals  trackingmail@fedex.com),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,F01- General Email Routing - GetReal,Disabled,"If (Contacts > Email - Primary  not equals  premierfieldsupport@fedex.com  AND  Contacts > Email - Primary  not equals  notify@ringcentral.com  AND  Incidents > Queue  equals  Unspecified, Chewy+, Email Routing  AND  Incidents > Mailbox  equals  Chewy, Unspecified  AND  Contacts > Email - Primary  not equals  trackingmail@fedex.com  AND  Contacts > Email - Primary  not equals  chewy@fedex.com  AND  Contacts > Email - Primary  not equals  noreply@fedex.com  AND  Contacts > Email - Primary  not equals  premiercare@fedex.com  AND  Contacts > Email - Primary  not equals  customerservicecases@lasership.com  AND  Contacts > Email - Primary  not equals  premierglobalsupport@fedex.com  AND (  Custom Field > Routing Tags  contains  [gra]  OR  Custom Field > Routing Tags  contains  [grs]  OR  Custom Field > Routing Tags  contains  [grp] )  AND  Incidents > Source  equals  Techmail - Service Mailbox)",Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,F01- General Email Routing - Chewy+,Enabled,"If (Contacts > Email - Primary  not equals  premierfieldsupport@fedex.com  AND  Contacts > Email - Primary  not equals  notify@ringcentral.com  AND  Incidents > Queue  equals  Unspecified, Chewy+, Email Routing  AND  Incidents > Mailbox  equals  Chewy, Unspecified  AND  Contacts > Email - Primary  not equals  trackingmail@fedex.com  AND  Contacts > Email - Primary  not equals  chewy@fedex.com  AND  Contacts > Email - Primary  not equals  noreply@fedex.com  AND  Contacts > Email - Primary  not equals  premiercare@fedex.com  AND  Contacts > Email - Primary  not equals  customerservicecases@lasership.com  AND  Contacts > Email - Primary  not equals  premierglobalsupport@fedex.com  AND (  Custom Field > Routing Tags  contains  [c+]  OR  Custom Field > Routing Tags  contains  [c+s]  OR  Custom Field > Routing Tags  contains  [c+i]  OR  Custom Field > Routing Tags  contains  [c+c] )  AND  Incidents > Source  equals  Techmail - Service Mailbox)",Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,01- General Email Routing,Enabled,"If (Contacts > Email - Primary  not equals  premierfieldsupport@fedex.com  AND  Contacts > Email - Primary  not equals  notify@ringcentral.com  AND  Incidents > Queue  equals  Email Routing, General Email, General Email Overflow, Customer Service, ESCO, FC, PAW, PR, Vet Diet, Vet Diet Overflow, NPS, NPS Duplicates, FedEx Exceptions, PDI, Out Of Stock, ICF Cleanup, Unspecified  AND  Incidents > Mailbox  equals  Chewy, Unspecified  AND  Contacts > Email - Primary  not equals  trackingmail@fedex.com  AND  Contacts > Email - Primary  not equals  chewy@fedex.com  AND  Contacts > Email - Primary  not equals  noreply@fedex.com  AND  Contacts > Email - Primary  not equals  premiercare@fedex.com  AND  Contacts > Email - Primary  not equals  customerservicecases@lasership.com  AND  Contacts > Email - Primary  not equals  premierglobalsupport@fedex.com  AND  Incidents > Source  equals  Techmail - Service Mailbox)",Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,01- Supply Reply Email Routing,Enabled,"If (Contacts > Email - Primary  not equals  notifications@fedex.com  AND  Contacts > Email - Primary  not equals  notify@ringcentral.com  AND  Incidents > Queue  equals  Supply Mailbox  AND  Incidents > Mailbox  equals  Supply Mailbox, Chewy, Unspecified  AND  Custom Field > Supply Escalation Reason  equals  Supply Inbox)",Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,01- Vet Diet Email Routing,Enabled,If (Contacts > Email - Primary  not equals  notify@ringcentral.com  AND  Incidents > Mailbox  equals  Vet Diet  AND  Contacts > Email - Primary  not equals  message@inbound.efax.com),Transition State And Stop 03-Vet Diet State
Contact,TransitionState_Stop,F01-Email Routing,01- WOW Routing,Enabled,"If (Contacts > Email - Primary  not equals  notifications@fedex.com  AND  Contacts > Email - Primary  not equals  notify@ringcentral.com  AND  Incidents > Queue  equals  WOW  AND  Incidents > Mailbox  equals  Chewy, null, Unspecified)",Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,01- Accounting Routing,Enabled,"If (Contacts > Email - Primary  not equals  notifications@fedex.com  AND  Contacts > Email - Primary  not equals  notify@ringcentral.com  AND  Incidents > Queue  equals  Accounting  AND  Incidents > Mailbox  equals  Chewy, null, Unspecified)",Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,01-Customer Not Available Day 2,Enabled,If (Contacts > Email - Primary  contains  @fedex.com  AND (  Incidents > Customer thread  match regex  \<2. Customer Not Available or Business Closed\>  OR  Incidents > Customer thread  match regex  A final delivery attempt will be made on the next business day. Click Manage Delivery below to take more control of your package )),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,01-Security Delay Day 2,Enabled,If (Contacts > Email - Primary  contains  @fedex.com  AND  Incidents > Customer thread  match regex  \<2. Recipient Location Security Delay\>),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,01-FedEx Replies,Enabled,"If (Incidents > Category  not equals  Customer Not Available or Business Closed, Delivery delayed, scheduled, Local weather delay, No attempt made, delivery, Recipient Location Security Delay  AND (  Contacts > Email - Primary  equals  chewy@fedex.com  OR  Contacts > Email - Primary  equals  premiercare@fedex.com  OR  Contacts > Email - Primary  equals  customerservicecases@lasership.com  OR  Contacts > Email - Primary  equals  premierglobalsupport@fedex.com  OR  Contacts > Email - Primary  equals  premierfieldsupport@fedex.com ))",Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,01-FedEx No Replies,Enabled,"If (Incidents > Category  not equals  Customer Not Available or Business Closed, Delivery delayed, scheduled, Local weather delay, Recipient Location Security Delay, No attempt made, delivery  AND  Incidents > Previous Status  equals  Unspecified  AND  Contacts > Email - Primary  equals  noreply@fedex.com)",Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-Email Routing,01-FedEx Exception Catch All,Enabled,"If (Incidents > Previous Status  equals  Unresolved, Unspecified  AND (  Contacts > Email - Primary  contains  @fedex.com  OR  Contacts > Email - Primary  contains  @lasership.com )  AND  Incidents > Status  not equals  Solved  AND  Incidents > Category  equals  Unspecified)",Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-G Email Routing,F01-G- General Email Routing - GetReal,Enabled,"If (Contacts > Email - Primary  not equals  premierfieldsupport@fedex.com  AND  Contacts > Email - Primary  not equals  notify@ringcentral.com  AND  Incidents > Queue  equals  Get Real  AND  Incidents > Mailbox  equals  Chewy, Unspecified  AND  Contacts > Email - Primary  not equals  trackingmail@fedex.com  AND  Contacts > Email - Primary  not equals  chewy@fedex.com  AND  Contacts > Email - Primary  not equals  noreply@fedex.com  AND  Contacts > Email - Primary  not equals  premiercare@fedex.com  AND  Contacts > Email - Primary  not equals  customerservicecases@lasership.com  AND  Contacts > Email - Primary  not equals  premierglobalsupport@fedex.com  AND (  Custom Field > Routing Tags  contains  [gra]  OR  Custom Field > Routing Tags  contains  [grs]  OR  Custom Field > Routing Tags  contains  [grp] )  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email ))",Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-G Email Routing,F01-G-Route OnTrac,Enabled,If ((  Contacts > Email - Primary  equals  sagteam1@ontrac.com  OR  Contacts > Email - Primary  equals  info.donotreply@ontrac.com )  AND  Incidents > Queue  equals  Supply Mailbox),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-G Email Routing,F01-G-Route Personalization Update,Enabled,If (Contacts > Email - Primary  equals  orders@gotags.com  OR  Contacts > Email - Primary  equals  cseiden@chewy.com  OR  Contacts > Email - Primary  equals  jweber2@chewy.com  OR  Contacts > Email - Primary  contains  @yellowdog-design.com  OR  Contacts > Email - Primary  contains  @twotailspetcompany.com  OR  Contacts > Email - Primary  contains  @tribesocks.com  OR  Contacts > Email - Primary  contains  @SiliDog.com  OR  Contacts > Email - Primary  contains  @roadid.com  OR  Contacts > Email - Primary  contains  @reddingo.com  OR  Contacts > Email - Primary  contains  @majesticpet.com  OR  Contacts > Email - Primary  equals  ordersupport@fujifilm.com  OR  Contacts > Email - Primary  contains  @coastalpet.com  OR  Contacts > Email - Primary  contains  @bungalowflooring.com  OR  Contacts > Email - Primary  contains  @buckle-down.com  OR  Contacts > Email - Primary  contains  @bowsers.com  OR  Contacts > Email - Primary  contains  @3dogpetsupply.com  OR  Contacts > Contact Type  equals  Personalization Vendor  AND  Incidents > Queue  equals  Personalization Updates),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-G Email Routing,F01-G- Rx FC Overnight Tracking,Enabled,If (Incidents > Subject  contains  CS Escalation Tracker  AND (  Contacts > Login  equals  no-reply@sharepointonline.com  OR  Contacts > Login  equals  jlausch@chewy.com )  AND  Incidents > Source  equals  Techmail - Service Mailbox  AND  Incidents > Incoming Mailbox  equals  RX  AND  Incidents > Queue  equals  Medications and Prescriptions),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-G Email Routing,F01-G-Chewy Pro Routing,Enabled,If (Contacts > Contact Type  equals  Chewy Pro  OR  Incidents > Queue  equals  General Email  OR (  Incidents > Channel  equals  Email  AND  Custom Field > Channel  equals  Email )),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-G Email Routing,F01-G- Chewy Rx Pharmacy Fax Routing - Gaba,Enabled,If ((  Contacts > Email - Primary  equals  notify@ringcentral.com  OR  Contacts > Email - Primary  equals  message@inbound.efax.com  OR  Contacts > Email - Primary  equals  help@mail.efax.com  OR  Contacts > Email - Primary  equals  emcavinn@chewy.com )  AND  Incidents > Incoming Mailbox  equals  RX  AND  Custom Field > Channel  equals  Gabapentin  AND  Incidents > Queue  equals  Rx Pharmacy Data Entry - AVP  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-G Email Routing,F01-G- Chewy Rx Pharmacy Verbal Rout -GABA,Enabled,If ((  Contacts > Email - Primary  equals  pharmacyteam@chewy.com  OR  Contacts > Email - Primary  equals  verbals@chewy.com )  AND  Incidents > Incoming Mailbox  equals  RX  AND  Incidents > Queue  equals  Rx Pharmacy Data Entry - AVP  AND  Custom Field > Channel  equals  Gabapentin),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-G Email Routing,F01-G- Chewy Rx Pharmacy Mailin Routing,Enabled,If (Contacts > Email - Primary  equals   wmcreynold@chewy.com  AND  Incidents > Incoming Mailbox  equals  RX  AND  Incidents > Queue  equals  Rx Pharmacy Tech Fax Priority  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-G Email Routing,F01-G- Chewy RX Pharmacy Voicemail - Gaba,Enabled,If ((  Contacts > Email - Primary  equals  unityconnection@iad2uca.chewy.local  OR  Contacts > Email - Primary  equals  unityconnection@fll2tucb.chewy.local  OR  Contacts > Email - Primary  equals  RPH_PharmacistNV_V@iad2uca.chewy.local )  AND  Incidents > Mailbox  equals  RX  AND  Custom Field > Channel  equals  Gabapentin  AND  Incidents > Queue  equals  Rx Pharmacy Data Entry - AVP),Transition State And Stop 04-Pharmacy State
Contact,TransitionState_Stop,F01-G Email Routing,F01-G- Supply Email Routing,Enabled,If (Incidents > Incoming Mailbox  equals  Supply Mailbox  AND  Incidents > Category  equals  Unspecified  AND  Incidents > Disposition  equals  Unspecified  AND  Contacts > Email - Primary  not equals  trackingmail@fedex.com  AND  Incidents > Queue  equals  Supply Mailbox  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-G Email Routing,F01-G- General Email Routing - Chewy+,Enabled,"If (Contacts > Email - Primary  not equals  premierfieldsupport@fedex.com  AND  Contacts > Email - Primary  not equals  notify@ringcentral.com  AND  Incidents > Queue  equals  Chewy+  AND  Incidents > Mailbox  equals  Chewy, Unspecified  AND  Contacts > Email - Primary  not equals  trackingmail@fedex.com  AND  Contacts > Email - Primary  not equals  chewy@fedex.com  AND  Contacts > Email - Primary  not equals  noreply@fedex.com  AND  Contacts > Email - Primary  not equals  premiercare@fedex.com  AND  Contacts > Email - Primary  not equals  customerservicecases@lasership.com  AND  Contacts > Email - Primary  not equals  premierglobalsupport@fedex.com  AND (  Custom Field > Routing Tags  contains  [c+]  OR  Custom Field > Routing Tags  contains  [c+s]  OR  Custom Field > Routing Tags  contains  [c+i]  OR  Custom Field > Routing Tags  contains  [c+c] )  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email ))",Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-G Email Routing,F01-G- General Email Routing,Enabled,"If (Contacts > Email - Primary  not equals  premierfieldsupport@fedex.com  AND  Contacts > Email - Primary  not equals  notify@ringcentral.com  AND  Incidents > Queue  equals  General Email  AND  Incidents > Mailbox  equals  Chewy, Unspecified  AND  Contacts > Email - Primary  not equals  trackingmail@fedex.com  AND  Contacts > Email - Primary  not equals  chewy@fedex.com  AND  Contacts > Email - Primary  not equals  noreply@fedex.com  AND  Contacts > Email - Primary  not equals  premiercare@fedex.com  AND  Contacts > Email - Primary  not equals  customerservicecases@lasership.com  AND  Contacts > Email - Primary  not equals  premierglobalsupport@fedex.com  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email ))",Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-G Email Routing,F01-G- Supply Reply Email Routing,Enabled,"If (Contacts > Email - Primary  not equals  notifications@fedex.com  AND  Contacts > Email - Primary  not equals  notify@ringcentral.com  AND  Incidents > Queue  equals  Supply Mailbox  AND  Incidents > Mailbox  equals  Supply Mailbox, Chewy, Unspecified  AND  Custom Field > Supply Escalation Reason  equals  Supply Inbox)",Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-G Email Routing,F01-G- Vet Diet Email Routing,Enabled,If (Contacts > Email - Primary  not equals  notify@ringcentral.com  AND  Incidents > Mailbox  equals  Vet Diet  AND  Contacts > Email - Primary  not equals  message@inbound.efax.com  AND  Incidents > Queue  equals  Vet Diet  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Transition State And Stop 03-Vet Diet State
Contact,TransitionState_Stop,F01-G Email Routing,F01-Customer Not Available Day 2,Enabled,If (Contacts > Email - Primary  contains  @fedex.com  AND (  Incidents > Customer thread  match regex  \<2. Customer Not Available or Business Closed\>  OR  Incidents > Customer thread  match regex  A final delivery attempt will be made on the next business day. Click Manage Delivery below to take more control of your package )  AND  Incidents > Queue  equals  FedEx Exceptions  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-G Email Routing,F01-Security Delay Day 2,Enabled,If (Contacts > Email - Primary  contains  @fedex.com  AND  Incidents > Customer thread  match regex  \<2. Recipient Location Security Delay\>  AND  Incidents > Queue  equals  FedEx Exceptions  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email )),Transition State And Stop 02-Updated State
Contact,TransitionState_Stop,F01-G Email Routing,F01-FedEx Replies,Enabled,"If (Incidents > Category  not equals  Customer Not Available or Business Closed, Delivery delayed, scheduled, Local weather delay, No attempt made, delivery, Recipient Location Security Delay  AND (  Contacts > Email - Primary  equals  chewy@fedex.com  OR  Contacts > Email - Primary  equals  premiercare@fedex.com  OR  Contacts > Email - Primary  equals  customerservicecases@lasership.com  OR  Contacts > Email - Primary  equals  premierglobalsupport@fedex.com  OR  Contacts > Email - Primary  equals  premierfieldsupport@fedex.com )  AND  Incidents > Queue  equals  Supply Mailbox  AND (  Incidents > Channel  equals  Email  OR  Custom Field > Channel  equals  Email ))",Transition State And Stop 02-Updated State
